# MT3f exact freeze inclusion manifest (TSV)
# schema_version=mt3f-inclusion-manifest-v1
# snapshot_branch=codex/recovered-demo-bundle
# snapshot_head=501d8a6d7d2db48397b355aab592d6ea359ae277
# snapshot_tracked_modified=4
# snapshot_untracked=328
# snapshot_staged=0
# candidate_count=332
# accepted_candidate_count=39
# excluded_candidate_count=293
# control_file=docs/evidence/MT3F_FREEZE_INCLUSION_MANIFEST.tsv
# approved_path_count_with_control_file=40
# control_file_digest=reported externally because a file cannot embed its own SHA-256
# reviewer_verdict=PASS WITH MECHANICAL CORRECTIONS
# packaging_classification=OUT-OF-SCOPE UNTRACKED WIP
# amendment_sha256=f53bcb7df3a3187b840687e03b0b4d071c21a2936bd72cf46d991a5107591021
scope	path	originating_micro_task	git_status	purpose	public_private_classification	decision	sha256	reason
candidate	docs/evidence/DATA_INTAKE_IEEE_CIS.md	MT3a	untracked	Public-safe source intake and digest record	public_safe	INCLUDE	5d5125a097345a7292e83608f70d4f9aa9bf0e77f754dbfef8547860e402d74a	Required accepted MT1-MT3e/MT3f reproducibility or review evidence
candidate	docs/evidence/EXECUTION_LEDGER.md	MT1-MT3f	tracked_modified	Chronological execution and correction record	public_safe	INCLUDE	f4076fc65091fbb366fb3b57e17e325fd6a224302c165276939ea97bbd305839	Required accepted MT1-MT3e/MT3f reproducibility or review evidence
candidate	docs/evidence/LANE_A_DEVELOPMENT_FREEZE.md	MT3d	untracked	Lane A v1 development freeze	public_safe	INCLUDE	ea7175685526344ee310e2fd0ff5b75640bfd416e9ed823c9e396a16ae306dda	Required accepted MT1-MT3e/MT3f reproducibility or review evidence
candidate	docs/evidence/LANE_A_FEATURE_CONTRACT.md	MT3b	untracked	Feature eligibility contract evidence	public_safe	INCLUDE	82652df0f2504dc0507815b89ca2299a0df7159c69d162242cdf3dd66d0c80e2	Required accepted MT1-MT3e/MT3f reproducibility or review evidence
candidate	docs/evidence/LANE_A_PARTITION_FREEZE.md	MT3a	untracked	Chronological role-partition freeze	public_safe	INCLUDE	436a2b06a663412ff561749a822e3647ad54c5ac2865f3c30c4790cf6790a9d3	Required accepted MT1-MT3e/MT3f reproducibility or review evidence
candidate	docs/evidence/LANE_A_PROTOCOL_V2_AMENDMENT.md	MT3e	untracked	Pre-experiment v2 protocol amendment	public_safe	INCLUDE	f53bcb7df3a3187b840687e03b0b4d071c21a2936bd72cf46d991a5107591021	Required accepted MT1-MT3e/MT3f reproducibility or review evidence
candidate	docs/evidence/LANE_A_SERVING_SCHEMA.md	MT3b	untracked	Locked v1 serving schema evidence	public_safe	INCLUDE	811a2f698c73f3652c26b100fd6346f5e6c2ee6ddaaad5710103107b6f6441e5	Required accepted MT1-MT3e/MT3f reproducibility or review evidence
candidate	docs/evidence/LANE_A_V2_FREEZE.md	MT3e	untracked	Public-safe v2 scientific and policy freeze	public_safe	INCLUDE	8f03cbed01bdac6328314f7ac8a2e5b9d4b542cdb7bf87f32c3712f96bb838ea	Required accepted MT1-MT3e/MT3f reproducibility or review evidence
candidate	docs/evidence/SCIENTIFIC_PROTOCOL.md	MT2	untracked	Leakage-safe scientific protocol	public_safe	INCLUDE	c80a79b2679c765f6abc7fda84bd55bdbd84c4911c166e215c6a120b4ab7fe8f	Required accepted MT1-MT3e/MT3f reproducibility or review evidence
candidate	game/.freebuff/desktop-v2.db	Freebuff tooling	untracked	Local tool database/state	private_local_state	EXCLUDE	a209ba85773882b79b8147779c406fbb67a12dcb723ba7c4ea7ca3168e651cc8	Machine-local mutable tooling state
candidate	game/.freebuff/desktop-v2.db-shm	Freebuff tooling	untracked	Local tool database/state	private_local_state	EXCLUDE	a0e6e38b20757e2363bd869011c5a8eeccf3848077cf2d6aa6ae1332f6c74124	Machine-local mutable tooling state
candidate	game/.freebuff/desktop-v2.db-wal	Freebuff tooling	untracked	Local tool database/state	private_local_state	EXCLUDE	d637172ec1e9f0298e8a4097a2f9bce871a064944271590f40d1ccc763fc6699	Machine-local mutable tooling state
candidate	graphify-out/.graphify_analysis.json	Graphify tooling	untracked	Generated graph/cache/memory output	local_tooling_output	EXCLUDE	834e149094c10f3f555a8f918b210c2af45e1f0f1524cd795725bbb3d9aca443	Generated Graphify content is unrelated to the accepted project freeze
candidate	graphify-out/.graphify_build.json	Graphify tooling	untracked	Generated graph/cache/memory output	local_tooling_output	EXCLUDE	42c32a2419aa0638e436902c4f7167f395c7359b343b0188f41ec83fcd9d040e	Generated Graphify content is unrelated to the accepted project freeze
candidate	graphify-out/.graphify_labels.json	Graphify tooling	untracked	Generated graph/cache/memory output	local_tooling_output	EXCLUDE	f9d4e26dd62af17f1d91d962a2f3738a718b03f5cbd0d080b162496e0b9aace5	Generated Graphify content is unrelated to the accepted project freeze
candidate	graphify-out/.graphify_labels.json.sig	Graphify tooling	untracked	Generated graph/cache/memory output	local_tooling_output	EXCLUDE	5873965e16888ef8e76d901e2fe69433e82e97cef42e0b176d7d99f57645bd3f	Generated Graphify content is unrelated to the accepted project freeze
candidate	graphify-out/.graphify_learning.json	Graphify tooling	untracked	Generated graph/cache/memory output	local_tooling_output	EXCLUDE	a085929aaba0502a253d02c8811418f19850d8fd967b5b13fd54db43c0def110	Generated Graphify content is unrelated to the accepted project freeze
candidate	graphify-out/.graphify_old.json	Graphify tooling	untracked	Generated graph/cache/memory output	local_tooling_output	EXCLUDE	07b88cbddca235977ceb4e5ef9bfe85686ff3f6cc05842401b0e87c009e625cb	Generated Graphify content is unrelated to the accepted project freeze
candidate	graphify-out/.graphify_python	Graphify tooling	untracked	Generated graph/cache/memory output	local_tooling_output	EXCLUDE	f0a7a39b2e8d6463d5949190c7e04fc753df2c8451f3daf8116b7ed6e32c0a96	Generated Graphify content is unrelated to the accepted project freeze
candidate	graphify-out/.graphify_root	Graphify tooling	untracked	Generated graph/cache/memory output	local_tooling_output	EXCLUDE	4d5a564a8826714ed38ec3ea7fe6d60f7c4a3e4c1ea0eefca74eb5d2bd0d2eb5	Generated Graphify content is unrelated to the accepted project freeze
candidate	graphify-out/.obsidian/app.json	Graphify tooling	untracked	Generated graph/cache/memory output	local_tooling_output	EXCLUDE	44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a	Generated Graphify content is unrelated to the accepted project freeze
candidate	graphify-out/.obsidian/appearance.json	Graphify tooling	untracked	Generated graph/cache/memory output	local_tooling_output	EXCLUDE	44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a	Generated Graphify content is unrelated to the accepted project freeze
candidate	graphify-out/.obsidian/core-plugins.json	Graphify tooling	untracked	Generated graph/cache/memory output	local_tooling_output	EXCLUDE	763cf20a921fd9955735b278006820b90b207b2fc04d9e79ca648279c7c14276	Generated Graphify content is unrelated to the accepted project freeze
candidate	graphify-out/.obsidian/graph.json	Graphify tooling	untracked	Generated graph/cache/memory output	local_tooling_output	EXCLUDE	bd6beb0f92e0524517d5400adb3199c7b57458804ccebf322bc91d77ec68db24	Generated Graphify content is unrelated to the accepted project freeze
candidate	graphify-out/.obsidian/workspace.json	Graphify tooling	untracked	Generated graph/cache/memory output	local_tooling_output	EXCLUDE	c29d2131e3a43b976125feaddfa7c1ebef8c4feb2505bdfc293701e9ce7c25c5	Generated Graphify content is unrelated to the accepted project freeze
candidate	graphify-out/.vocab.txt	Graphify tooling	untracked	Generated graph/cache/memory output	local_tooling_output	EXCLUDE	f60673b78c9ad73a1947af6747492d0c63666d28eeb5d495d443c5de3cf556d9	Generated Graphify content is unrelated to the accepted project freeze
candidate	graphify-out/2026-08-23/.graphify_analysis.json	Graphify tooling	untracked	Generated graph/cache/memory output	local_tooling_output	EXCLUDE	182f910775d9dd4446719391cdff041ae4014e574f02ac3aef414ea4976a3861	Generated Graphify content is unrelated to the accepted project freeze
candidate	graphify-out/2026-08-23/.graphify_labels.json	Graphify tooling	untracked	Generated graph/cache/memory output	local_tooling_output	EXCLUDE	6623161797e499276f40064a84f6f2fdca6a01160c16966ad9843bfe943e9ca0	Generated Graphify content is unrelated to the accepted project freeze
candidate	graphify-out/2026-08-23/GRAPH_REPORT.md	Graphify tooling	untracked	Generated graph/cache/memory output	local_tooling_output	EXCLUDE	9f7599968f985edc06270e926ce7812fc64b0d76cca817708ea179c1d3cf22ac	Generated Graphify content is unrelated to the accepted project freeze
candidate	graphify-out/2026-08-23/cost.json	Graphify tooling	untracked	Generated graph/cache/memory output	local_tooling_output	EXCLUDE	883dbc62a64fddef46b8afc3627241da069302b3e0c60ed708f4ab50dbd1b51c	Generated Graphify content is unrelated to the accepted project freeze
candidate	graphify-out/2026-08-23/graph.json	Graphify tooling	untracked	Generated graph/cache/memory output	local_tooling_output	EXCLUDE	8c20cf7f696689f7952882ab2c2cf216802fb41abf4b1bb184116bbf86c06bbb	Generated Graphify content is unrelated to the accepted project freeze
candidate	graphify-out/2026-08-23/manifest.json	Graphify tooling	untracked	Generated graph/cache/memory output	local_tooling_output	EXCLUDE	bb2832173683529e6647244d102bfa762e4833b60dbc94b468b4b7207597fd42	Generated Graphify content is unrelated to the accepted project freeze
candidate	graphify-out/GRAPH_REPORT.md	Graphify tooling	untracked	Generated graph/cache/memory output	local_tooling_output	EXCLUDE	ebf7ac996c8470666ea30439ba167745ddbf9ec6384a8daf129f385cbcd410d7	Generated Graphify content is unrelated to the accepted project freeze
candidate	graphify-out/cache/ast/v0.9.48-s2/01a5a0c80d62d13753f11cdcf07fc2e162c05f6090b26868024922cd1bb75eeb.json	Graphify tooling	untracked	Generated graph/cache/memory output	local_tooling_output	EXCLUDE	d5c4e8ef656dc29dd7c9e7d20d3707dbf1e6fea331690f3ef6d9a04c34d72c23	Generated Graphify content is unrelated to the accepted project freeze
candidate	graphify-out/cache/ast/v0.9.48-s2/01a7339b82c96b4d71e7cd9b7b5dddeda27d5541f59a16a78f8adcfe024076e3.json	Graphify tooling	untracked	Generated graph/cache/memory output	local_tooling_output	EXCLUDE	d156765be14e686df092bea51eaeae0079925e3a60db599d3df70a6cf9ab4125	Generated Graphify content is unrelated to the accepted project freeze
candidate	graphify-out/cache/ast/v0.9.48-s2/02388298fe425711157bbebb24ba0e0ef935503df027816ff6730c08b4f96b19.json	Graphify tooling	untracked	Generated graph/cache/memory output	local_tooling_output	EXCLUDE	b9117854577b1b7822f4d6fc1ea8f6fb8969150ca0d7a256cb1f908d7a91c02e	Generated Graphify content is unrelated to the accepted project freeze
candidate	graphify-out/cache/ast/v0.9.48-s2/025e3f323a95a79e29a9ecea38747413ff3ce6f032a982fe33183023e810c68a.json	Graphify tooling	untracked	Generated graph/cache/memory output	local_tooling_output	EXCLUDE	7ceb81dbf1bc6a2f14af52b19762e1eec44b05addf3380125028122f574f27ab	Generated Graphify content is unrelated to the accepted project freeze
candidate	graphify-out/cache/ast/v0.9.48-s2/05b54d7abbed5989ac4700d9d715d15b357a2904c23ede8c49cc6f7a8434fab8.json	Graphify tooling	untracked	Generated graph/cache/memory output	local_tooling_output	EXCLUDE	78c649e3bd2298e0395c5a553b8e8a3b7e4468f6c272ac4c30d29c36e532e17d	Generated Graphify content is unrelated to the accepted project freeze
candidate	graphify-out/cache/ast/v0.9.48-s2/076401fe201087c83f977033dd9bebcfd9bf62b684bd311279c233f91ade6da5.json	Graphify tooling	untracked	Generated graph/cache/memory output	local_tooling_output	EXCLUDE	df153e9ecfa110bebe28925bc664b20bcf590a26dfb223eb241f81347c0fa164	Generated Graphify content is unrelated to the accepted project freeze
candidate	graphify-out/cache/ast/v0.9.48-s2/0768953726fa4ba0fc435178b57af4857106fcddf277498cd0bca73dabc382c4.json	Graphify tooling	untracked	Generated graph/cache/memory output	local_tooling_output	EXCLUDE	36438ce6576ce595f459767afd3ba5479a8da5c493c07e118e137eaf74ec4be2	Generated Graphify content is unrelated to the accepted project freeze
candidate	graphify-out/cache/ast/v0.9.48-s2/09131b841b2476a1fa2899e52900df4831b48e6573bf0f2634f9180fcd5af1a8.json	Graphify tooling	untracked	Generated graph/cache/memory output	local_tooling_output	EXCLUDE	da4d108dbd40dc4fb2ef7db9573d449d44cd2857b6571417b194c7a2372d3876	Generated Graphify content is unrelated to the accepted project freeze
candidate	graphify-out/cache/ast/v0.9.48-s2/0d9b870fd10f273f6eff7bc302ed91f2a4681975211d01a2a19bdd7850821f8f.json	Graphify tooling	untracked	Generated graph/cache/memory output	local_tooling_output	EXCLUDE	4a89956c9dd7c7b37f9b04830f0a811a055bf49d06ba2760185c1b317b102b1c	Generated Graphify content is unrelated to the accepted project freeze
candidate	graphify-out/cache/ast/v0.9.48-s2/10c28b043d33f67883df44720c64e59711116a5f2e35ee47ced285a6a53b6405.json	Graphify tooling	untracked	Generated graph/cache/memory output	local_tooling_output	EXCLUDE	4b7b4108fd898adf38ced70c9e23f3d51d10cb18a522801134f19ac742124dbe	Generated Graphify content is unrelated to the accepted project freeze
candidate	graphify-out/cache/ast/v0.9.48-s2/11b608c4cd2cc799bbe7af13e018ee61ccf030c89b0513505c94d45433c75aeb.json	Graphify tooling	untracked	Generated graph/cache/memory output	local_tooling_output	EXCLUDE	defa95c4c2b2de1a4398ac468a3950fe2b15a532ce766aa658ce8fa56ab21b77	Generated Graphify content is unrelated to the accepted project freeze
candidate	graphify-out/cache/ast/v0.9.48-s2/12687d4733e1c31d229d52b1e6cfae7b47837cf8a5bbd5fdaaab3071b3939810.json	Graphify tooling	untracked	Generated graph/cache/memory output	local_tooling_output	EXCLUDE	6080635c19421eedbda4b146097cdd0a70088b49d24a9c3ffff2382dcda2d9f3	Generated Graphify content is unrelated to the accepted project freeze
candidate	graphify-out/cache/ast/v0.9.48-s2/1359d361d57baa942f6392531c4d49f1aea24c6571fd0ab753271532a3a96fef.json	Graphify tooling	untracked	Generated graph/cache/memory output	local_tooling_output	EXCLUDE	56acbcc5b03e1f8ecd2a9b2b2b3fcaee08441b0f7e780b0307235d46a51461cd	Generated Graphify content is unrelated to the accepted project freeze
candidate	graphify-out/cache/ast/v0.9.48-s2/1373d6cbe577abde499fc61eeb71f16526d7737d145cc2f14ef50cfd20c3356c.json	Graphify tooling	untracked	Generated graph/cache/memory output	local_tooling_output	EXCLUDE	10d970f1235ae6969d52c8f3f9fecfc4300429c581830d327c7cc0039203518d	Generated Graphify content is unrelated to the accepted project freeze
candidate	graphify-out/cache/ast/v0.9.48-s2/13f6b0dc9fcf33d41a57099e2a19813c064ec186a3c3a799d47b371b59499393.json	Graphify tooling	untracked	Generated graph/cache/memory output	local_tooling_output	EXCLUDE	19d43c826ac513ba4af572f85d9aedce38472e6b14c24ed791e9a4c15a6cdd01	Generated Graphify content is unrelated to the accepted project freeze
candidate	graphify-out/cache/ast/v0.9.48-s2/14178efc8b047aa8b51d4d0090c09d57fc1c0dbdeebcf6e65445a222fa3dbadc.json	Graphify tooling	untracked	Generated graph/cache/memory output	local_tooling_output	EXCLUDE	18454d05e39f3fb6935731b76c911f8d14718de8c75fa1e0b7baa508f06d4e5d	Generated Graphify content is unrelated to the accepted project freeze
candidate	graphify-out/cache/ast/v0.9.48-s2/14dc2fd8bf8e8d9991b0157b03343c138920da81954df815bab9270542ed99a0.json	Graphify tooling	untracked	Generated graph/cache/memory output	local_tooling_output	EXCLUDE	a2d38bfea95f15f2773cedd96903e6d8d173bbad2f9f27ea6fffaf63746401d4	Generated Graphify content is unrelated to the accepted project freeze
candidate	graphify-out/cache/ast/v0.9.48-s2/15c101fe894a1044ac859d8e8dce1e1946d2cefc9a45fb50b80c5de23b1bb4e4.json	Graphify tooling	untracked	Generated graph/cache/memory output	local_tooling_output	EXCLUDE	a6190c9590487d7e7a62858bca4fd4a0254a8cc0fe62898afce713219a110d2f	Generated Graphify content is unrelated to the accepted project freeze
candidate	graphify-out/cache/ast/v0.9.48-s2/16de8a05741172db80f18381074c719b20bf75b67cfb25b5c015363e4200fb6e.json	Graphify tooling	untracked	Generated graph/cache/memory output	local_tooling_output	EXCLUDE	275f01fe86f5f021f6285ac04f0c41e6e41f138ccaf85a671f908bb5903a4598	Generated Graphify content is unrelated to the accepted project freeze
candidate	graphify-out/cache/ast/v0.9.48-s2/18efd3a5f922fc8a1d7e3066a65668e862a7cc3b976208c0cf2d1f525e9b8862.json	Graphify tooling	untracked	Generated graph/cache/memory output	local_tooling_output	EXCLUDE	bdaeb332dfba027d908b7b324a850504c79b10b785d4542b48fef97c4a6ed9f5	Generated Graphify content is unrelated to the accepted project freeze
candidate	graphify-out/cache/ast/v0.9.48-s2/1bf18023bac73a93fcf3a3edc6c385d0859e5256dd62eef18e791406453832d9.json	Graphify tooling	untracked	Generated graph/cache/memory output	local_tooling_output	EXCLUDE	2d088baee49ffbfe6887c2bc300a44545c8143aa3e6fe25754e4e29777a6729a	Generated Graphify content is unrelated to the accepted project freeze
candidate	graphify-out/cache/ast/v0.9.48-s2/1fa6ab56a56b7843a45054a0afce3fa3326a83fe7afe47b0e842d03fa0d89e0a.json	Graphify tooling	untracked	Generated graph/cache/memory output	local_tooling_output	EXCLUDE	cc5604204c2e990712d467e0b622af189d480acf60dfd3c568b53a533f30661f	Generated Graphify content is unrelated to the accepted project freeze
candidate	graphify-out/cache/ast/v0.9.48-s2/212856440c6d863db72a523f5f5c740702066dd26a39e4996d4e57b85b56799a.json	Graphify tooling	untracked	Generated graph/cache/memory output	local_tooling_output	EXCLUDE	2c5dbd2bf6689cd5df5a1b01ee6a90035608d8c6dc531fd16d17cae5024d581e	Generated Graphify content is unrelated to the accepted project freeze
candidate	graphify-out/cache/ast/v0.9.48-s2/2288965dfa421a82d2cd1352bcc320d99143c99d08b3605af266f47c423042ff.json	Graphify tooling	untracked	Generated graph/cache/memory output	local_tooling_output	EXCLUDE	4db1d9728fd9e4c800d79b45bae257d5b145275637a58362e5e00a02b9534652	Generated Graphify content is unrelated to the accepted project freeze
candidate	graphify-out/cache/ast/v0.9.48-s2/23f5292bde6a3197d4e197dabc8f8ee6f01bc8b493ba250a077287d975e8cac8.json	Graphify tooling	untracked	Generated graph/cache/memory output	local_tooling_output	EXCLUDE	f9e582511a513d92463f4d921f6417dcfe0352254e816223179317f5170e640e	Generated Graphify content is unrelated to the accepted project freeze
candidate	graphify-out/cache/ast/v0.9.48-s2/256cd93ee98734a7e3c3ebbd1e86644fea5d038518cd7fb43e3464939f8e56be.json	Graphify tooling	untracked	Generated graph/cache/memory output	local_tooling_output	EXCLUDE	5ded1b194e35e03b0dd6baf2d53ea7792b0adb2353644a8242806fb7e447db2e	Generated Graphify content is unrelated to the accepted project freeze
candidate	graphify-out/cache/ast/v0.9.48-s2/26603404f41796eaaa11da42d37a9a00e1a116102c889486287bf36becaa9d85.json	Graphify tooling	untracked	Generated graph/cache/memory output	local_tooling_output	EXCLUDE	1a17678221d75ca82b82b9bc7ba3bf1ee05fe3a14c9e5829cd8f2019bc3c7e53	Generated Graphify content is unrelated to the accepted project freeze
candidate	graphify-out/cache/ast/v0.9.48-s2/283eaa3d1da0ad75aa8be05269f777061f6a1f28cbaf31e75701ae0adecfabbc.json	Graphify tooling	untracked	Generated graph/cache/memory output	local_tooling_output	EXCLUDE	061fc6c9c90cf9b7157078ddb283bfb380c7b183c1733a62faf0c1efb4af8ca0	Generated Graphify content is unrelated to the accepted project freeze
candidate	graphify-out/cache/ast/v0.9.48-s2/28b2aa746ba0fb42548c3ea9c69ef1537df72d1e7369ee3ff7f8822bde73e177.json	Graphify tooling	untracked	Generated graph/cache/memory output	local_tooling_output	EXCLUDE	7db27d7a6b346437801664a9b026c9bb79a9997caef8470ea92862e8e4b765e1	Generated Graphify content is unrelated to the accepted project freeze
candidate	graphify-out/cache/ast/v0.9.48-s2/29299da5ece782f316c9ac553a5160dae635ae1d06400c93067332750b58467b.json	Graphify tooling	untracked	Generated graph/cache/memory output	local_tooling_output	EXCLUDE	2d836c64a5d592968945efcb16d37bbc504bcf69575de524b80228cc15651970	Generated Graphify content is unrelated to the accepted project freeze
candidate	graphify-out/cache/ast/v0.9.48-s2/296d9f3dd9f692cace498a684b77d5f47cbc27e423b804c320508779d26720ea.json	Graphify tooling	untracked	Generated graph/cache/memory output	local_tooling_output	EXCLUDE	e120b45f757477be23eb4c649520ebe0fee41802927a89ded533a582b30186ae	Generated Graphify content is unrelated to the accepted project freeze
candidate	graphify-out/cache/ast/v0.9.48-s2/2c40066621ad0a3be34f1ba3c0fd516fcc9b7455e19aca09048800798ea20675.json	Graphify tooling	untracked	Generated graph/cache/memory output	local_tooling_output	EXCLUDE	22410ea3500968582a8ffab2dd4fda0d64bfb6c469bc30e61268e2a66b6569fc	Generated Graphify content is unrelated to the accepted project freeze
candidate	graphify-out/cache/ast/v0.9.48-s2/2cd87da8ccd56958bc24387fc138091361aafb57ed08a385e22fb5a3717e8841.json	Graphify tooling	untracked	Generated graph/cache/memory output	local_tooling_output	EXCLUDE	88c2aadb34f8107a82b7dffb288ae2d4a2e2630c9e9e8a055660fb7317750b63	Generated Graphify content is unrelated to the accepted project freeze
candidate	graphify-out/cache/ast/v0.9.48-s2/2d27731855186d7c8193731afb76dcc4f6bca763c7869baddf6c0307cd792055.json	Graphify tooling	untracked	Generated graph/cache/memory output	local_tooling_output	EXCLUDE	040b3fa32f31876f1ad42b00d0e134dc9cf43b4dc5de4c18e5c0c8f719220ef4	Generated Graphify content is unrelated to the accepted project freeze
candidate	graphify-out/cache/ast/v0.9.48-s2/2de666a9061354f482851455e2c76e725bb268b435b3d91b16b33706d4ab5536.json	Graphify tooling	untracked	Generated graph/cache/memory output	local_tooling_output	EXCLUDE	44dbc414a4e79cc924f1e775431d2c983b6d51b44cfe31b73afcbddc1f8cd923	Generated Graphify content is unrelated to the accepted project freeze
candidate	graphify-out/cache/ast/v0.9.48-s2/2fa4764746cc64b960b529cd35ccde4fb7fdc13ddfba4a3b513633c7221398f8.json	Graphify tooling	untracked	Generated graph/cache/memory output	local_tooling_output	EXCLUDE	612e61b14a15acc8091349e8b02585c28e19c3ac44dbc00130ad464a9dae9825	Generated Graphify content is unrelated to the accepted project freeze
candidate	graphify-out/cache/ast/v0.9.48-s2/2fbeae3a68d1097c6badcb214b21c7b148710072b6095eb66267abec0ce27b50.json	Graphify tooling	untracked	Generated graph/cache/memory output	local_tooling_output	EXCLUDE	23156028bf3640190f98a46121c4de911455cd5f97073a6915061b520be53827	Generated Graphify content is unrelated to the accepted project freeze
candidate	graphify-out/cache/ast/v0.9.48-s2/32d1fcc5b7ac29620fec01894e692fad859b4c98990a4611c588035e881f08f0.json	Graphify tooling	untracked	Generated graph/cache/memory output	local_tooling_output	EXCLUDE	1f953c2111fed0ee44b4fcfca34136c19f795b58a78cc1049e9f7fa908d6e45b	Generated Graphify content is unrelated to the accepted project freeze
candidate	graphify-out/cache/ast/v0.9.48-s2/33aa51a06e3173105c7554e3f6a31aba200e54c5331820a86c86a2b05f35497f.json	Graphify tooling	untracked	Generated graph/cache/memory output	local_tooling_output	EXCLUDE	257688645b41c6aaea29e00efb26a8e5c3e69e0804f93c959a2441c9a8cb9e4c	Generated Graphify content is unrelated to the accepted project freeze
candidate	graphify-out/cache/ast/v0.9.48-s2/376642acfe53f0e09c9c2975ad38aabfe7e44cd510cee578b8bca70d7de8245e.json	Graphify tooling	untracked	Generated graph/cache/memory output	local_tooling_output	EXCLUDE	3ee2a1709df60240c2b1b33ececd11df9010780fcdaf9d866262f54b01c06c0b	Generated Graphify content is unrelated to the accepted project freeze
candidate	graphify-out/cache/ast/v0.9.48-s2/389908c641618dabe70f8c3b90fe1fb6588965fd9063131d1697dab206fb22d2.json	Graphify tooling	untracked	Generated graph/cache/memory output	local_tooling_output	EXCLUDE	8b09788afdce3b01cfb7a83a1fa52ab6d2bc11c8a628b9e74d8fd6e90fc764c6	Generated Graphify content is unrelated to the accepted project freeze
candidate	graphify-out/cache/ast/v0.9.48-s2/38b7da8da3262e585ee71ae078deec703ba72209fb8011c270559d0a474e8abb.json	Graphify tooling	untracked	Generated graph/cache/memory output	local_tooling_output	EXCLUDE	7ae42c1a32223fb397ab9a94e09c9d566887fcab63a1e5dcfca4c87aa4992ebe	Generated Graphify content is unrelated to the accepted project freeze
candidate	graphify-out/cache/ast/v0.9.48-s2/3b44a8f6884aca035c632790cf1eb2b8f76d6cf5a8448c00e33807f1aa0ed68a.json	Graphify tooling	untracked	Generated graph/cache/memory output	local_tooling_output	EXCLUDE	b9328ed166d06ad006ad5f51f782eedf73f0cf9a3d8a7db29476d8127bed139a	Generated Graphify content is unrelated to the accepted project freeze
